data_source,code,price_type,data_type,period,ohlc_begin,ohlc_end,create_time,update_time,open_px,high_px,low_px,close_px,volume
YLINK,mAu(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:12:00	,	2024-07-15 10:12:59	,	2024-07-15 10:12:59	,	2024-07-15 10:12:59	,160,160,160,160,0
YLINK,Au(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 09:40:00	,	2024-07-15 09:40:59	,	2024-07-15 09:40:59	,	2024-07-15 09:40:59	,210,210,210,210,
YLINK,Ag99.99,MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 13:36:00	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,2722,2722,2722,2722,
YLINK,mAu(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 13:36:00	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,160,160,160,160,0
YLINK,Au(T+N2),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 13:36:00	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,220,220,220,220,0
YLINK,Ag99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 13:36:00	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,2733,2733,2733,2733,0
YLINK,Ag(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 13:36:00	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,2500,2500,2500,2500,0
YLINK,mAu(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 13:36:00	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,160,160,160,160,
YLINK,mAu(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 13:36:00	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,160,160,160,160,
YLINK,Au(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 13:36:00	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,182,182,182,182,0
YLINK,Au(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 13:36:00	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,210,210,210,210,
YLINK,Ag99.99,BID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 13:36:00	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,2722,2722,2722,2722,
YLINK,Au99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 13:36:00	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,	2024-07-15 13:36:59	,120,120,120,120,0
YLINK,Ag99.99,MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:28:00	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,2722,2722,2722,2722,
YLINK,mAu(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:28:00	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,160,160,160,160,0
YLINK,Ag(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:28:00	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,2500,2500,2500,2500,0
YLINK,Au(T+N2),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:28:00	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,220,220,220,220,0
YLINK,Ag99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:28:00	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,2733,2733,2733,2733,0
YLINK,mAu(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:28:00	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,160,160,160,160,
YLINK,Au(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:28:00	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,182,182,182,182,0
YLINK,Au99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:28:00	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,120,120,120,120,0
YLINK,Au(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:28:00	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,210,210,210,210,
YLINK,mAu(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:28:00	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,160,160,160,160,
YLINK,Ag99.99,BID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:28:00	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,	2024-07-15 11:28:59	,2722,2722,2722,2722,
YLINK,Ag99.99,MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:10:00	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,2722,2722,2722,2722,
YLINK,mAu(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:10:00	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,160,160,160,160,0
YLINK,Ag(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:10:00	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,2500,2500,2500,2500,0
YLINK,Au(T+N2),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:10:00	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,220,220,220,220,0
YLINK,Ag99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:10:00	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,2733,2733,2733,2733,0
YLINK,mAu(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:10:00	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,160,160,160,160,
YLINK,Au(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:10:00	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,182,182,182,182,0
YLINK,mAu(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:10:00	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,160,160,160,160,
YLINK,Au99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:10:00	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,120,120,120,120,0
YLINK,Au(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:10:00	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,210,210,210,210,
YLINK,Ag99.99,BID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:10:00	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,	2024-07-15 12:10:59	,2722,2722,2722,2722,
YLINK,Au(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:43:00	,	2024-07-15 11:43:59	,	2024-07-15 11:44:00	,	2024-07-15 11:44:00	,210,210,210,210,
YLINK,Ag99.99,MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:06:00	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,2722,2722,2722,2722,
YLINK,mAu(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:06:00	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,160,160,160,160,0
YLINK,Au(T+N2),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:06:00	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,220,220,220,220,0
YLINK,Ag(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:06:00	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,2500,2500,2500,2500,0
YLINK,Ag99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:06:00	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,2733,2733,2733,2733,0
YLINK,mAu(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:06:00	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,160,160,160,160,
YLINK,Au(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:06:00	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,182,182,182,182,0
YLINK,Au99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:06:00	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,120,120,120,120,0
YLINK,Au(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:06:00	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,210,210,210,210,
YLINK,Ag99.99,BID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:06:00	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,2722,2722,2722,2722,
YLINK,mAu(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 11:06:00	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,	2024-07-15 11:06:59	,160,160,160,160,
YLINK,Ag(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:19:00	,	2024-07-15 10:19:59	,	2024-07-15 10:20:00	,	2024-07-15 10:20:00	,2800,2800,2500,2500,
YLINK,Ag99.99,MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:19:00	,	2024-07-15 10:19:59	,	2024-07-15 10:20:00	,	2024-07-15 10:20:00	,2722,2722,542.25,2722,
YLINK,Ag99.99,OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:19:00	,	2024-07-15 10:19:59	,	2024-07-15 10:20:00	,	2024-07-15 10:20:00	,580,580,580,580,
YLINK,Ag(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:19:00	,	2024-07-15 10:19:59	,	2024-07-15 10:20:00	,	2024-07-15 10:20:00	,2800,2800,2800,2800,0
YLINK,Au(T+N2),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:19:00	,	2024-07-15 10:19:59	,	2024-07-15 10:20:00	,	2024-07-15 10:20:00	,220,220,220,220,0
YLINK,Ag99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:19:00	,	2024-07-15 10:19:59	,	2024-07-15 10:20:00	,	2024-07-15 10:20:00	,2733,2733,511.22,2733,0
YLINK,mAu(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:19:00	,	2024-07-15 10:19:59	,	2024-07-15 10:20:00	,	2024-07-15 10:20:00	,160,160,160,160,0
YLINK,Ag(T+D),BID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:19:00	,	2024-07-15 10:19:59	,	2024-07-15 10:20:00	,	2024-07-15 10:20:00	,2800,2800,2500,2500,
YLINK,mAu(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:19:00	,	2024-07-15 10:19:59	,	2024-07-15 10:20:00	,	2024-07-15 10:20:00	,160,160,160,160,
YLINK,Au(T+D),BID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:19:00	,	2024-07-15 10:19:59	,	2024-07-15 10:20:00	,	2024-07-15 10:20:00	,200,200,200,200,
YLINK,Au99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:19:00	,	2024-07-15 10:19:59	,	2024-07-15 10:20:00	,	2024-07-15 10:20:00	,150,150,150,150,0
YLINK,mAu(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:19:00	,	2024-07-15 10:19:59	,	2024-07-15 10:20:00	,	2024-07-15 10:20:00	,160,160,160,160,
YLINK,Au(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:19:00	,	2024-07-15 10:19:59	,	2024-07-15 10:20:00	,	2024-07-15 10:20:00	,205,205,205,205,
YLINK,Ag99.99,BID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:19:00	,	2024-07-15 10:19:59	,	2024-07-15 10:20:00	,	2024-07-15 10:20:00	,2722,2722,504.5,2722,
YLINK,Ag(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:34:00	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,2500,2500,2500,2500,
YLINK,Ag99.99,MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:42:00	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,2722,2722,2722,2722,
YLINK,Ag99.99,MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:34:00	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,2722,2722,2722,2722,
YLINK,mAu(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:42:00	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,160,160,160,160,0
YLINK,Ag(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:42:00	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,2500,2500,2500,2500,0
YLINK,mAu(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:34:00	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,160,160,160,160,0
YLINK,Ag(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:34:00	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,2800,2800,2800,2800,0
YLINK,Au(T+N2),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:42:00	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,220,220,220,220,0
YLINK,Ag99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:42:00	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,2733,2733,2733,2733,0
YLINK,Au(T+N2),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:34:00	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,220,220,220,220,0
YLINK,Ag(T+D),BID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:34:00	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,2500,2500,2500,2500,
YLINK,mAu(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:42:00	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,160,160,160,160,
YLINK,mAu(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:42:00	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,160,160,160,160,
YLINK,Au(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:42:00	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,182,182,182,182,0
YLINK,mAu(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:34:00	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,160,160,160,160,
YLINK,Au(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:42:00	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,210,210,210,210,
YLINK,Ag99.99,BID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:42:00	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,2722,2722,2722,2722,
YLINK,Au99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:42:00	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,	2024-07-15 12:42:59	,120,120,120,120,0
YLINK,Ag99.99,BID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:34:00	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,2722,2722,2722,2722,
YLINK,Au(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 10:34:00	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,	2024-07-15 10:34:59	,205,205,205,205,
YLINK,Au(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 09:30:00	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,210,210,210,210,
YLINK,Ag(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 09:30:00	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,2800,2800,2800,2800,
YLINK,Au99.99,MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 09:30:00	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,150,150,150,150,
YLINK,Au99.99,OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 09:30:00	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,150,150,150,150,
YLINK,mAu(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 09:30:00	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,160,160,160,160,0
YLINK,Ag(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 09:30:00	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,2900,2900,2900,2900,0
YLINK,Au(T+N2),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 09:30:00	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,220,220,220,220,0
YLINK,Ag99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 09:30:00	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,2733,2733,2733,2733,0
YLINK,Ag(T+D),BID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 09:30:00	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,2800,2800,2800,2800,
YLINK,mAu(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 09:30:00	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,160,160,160,160,
YLINK,mAu(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 09:30:00	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,160,160,160,160,
YLINK,Au(T+D),BID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 09:30:00	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,200,200,200,200,
YLINK,Au(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 09:30:00	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,205,205,205,205,
YLINK,Ag99.99,BID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 09:30:00	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,	2024-07-15 09:30:59	,2722,2722,2722,2722,
YLINK,Au(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 13:51:00	,	2024-07-15 13:51:59	,	2024-07-15 13:51:59	,	2024-07-15 13:51:59	,210,210,210,210,
YLINK,Au(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 14:55:00	,	2024-07-15 14:55:59	,	2024-07-15 14:55:59	,	2024-07-15 14:55:59	,210,210,210,210,
YLINK,Ag99.99,MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 09:35:00	,	2024-07-15 09:35:59	,	2024-07-15 09:35:59	,	2024-07-15 09:35:59	,2722,2722,2722,2722,
YLINK,Au(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 14:23:00	,	2024-07-15 14:23:59	,	2024-07-15 14:23:59	,	2024-07-15 14:23:59	,210,210,210,210,
YLINK,Au99.99,OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 15:27:00	,	2024-07-15 15:27:59	,	2024-07-15 15:27:59	,	2024-07-15 15:27:59	,120,120,120,120,
YLINK,Ag99.99,MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:05:00	,	2024-07-15 12:05:59	,	2024-07-15 12:06:00	,	2024-07-15 12:06:00	,2722,2722,2722,2722,
YLINK,mAu(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:05:00	,	2024-07-15 12:05:59	,	2024-07-15 12:06:00	,	2024-07-15 12:06:00	,160,160,160,160,0
YLINK,Ag(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:05:00	,	2024-07-15 12:05:59	,	2024-07-15 12:06:00	,	2024-07-15 12:06:00	,2500,2500,2500,2500,0
YLINK,Au(T+N2),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:05:00	,	2024-07-15 12:05:59	,	2024-07-15 12:06:00	,	2024-07-15 12:06:00	,220,220,220,220,0
YLINK,mAu(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:05:00	,	2024-07-15 12:05:59	,	2024-07-15 12:06:00	,	2024-07-15 12:06:00	,160,160,160,160,
YLINK,mAu(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:05:00	,	2024-07-15 12:05:59	,	2024-07-15 12:06:00	,	2024-07-15 12:06:00	,160,160,160,160,
YLINK,Ag99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:05:00	,	2024-07-15 12:05:59	,	2024-07-15 12:06:00	,	2024-07-15 12:06:00	,2733,2733,2733,2733,0
YLINK,Au(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:05:00	,	2024-07-15 12:05:59	,	2024-07-15 12:06:00	,	2024-07-15 12:06:00	,182,182,182,182,0
YLINK,Au99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:05:00	,	2024-07-15 12:05:59	,	2024-07-15 12:06:00	,	2024-07-15 12:06:00	,120,120,120,120,0
YLINK,Ag99.99,BID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:05:00	,	2024-07-15 12:05:59	,	2024-07-15 12:06:00	,	2024-07-15 12:06:00	,2722,2722,2722,2722,
YLINK,Au(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:05:00	,	2024-07-15 12:05:59	,	2024-07-15 12:06:00	,	2024-07-15 12:06:00	,210,210,210,210,
YLINK,Ag99.99,MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:59:00	,	2024-07-15 12:59:59	,	2024-07-15 12:59:59	,	2024-07-15 12:59:59	,2722,2722,2722,2722,
YLINK,mAu(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 12:59:00	,	2024-07-15 12:59:59	,	2024-07-15 12:59:59	,	2024-07-15 12:59:59	,160,160,160,160,0
